Vibriophage_1.106.O._10N.286.51.F7_2	f6cecb0becc52ac8a4fd3afb84161428	492	TIGRFAM	TIGR01547	phage_term_2: phage terminase, large subunit, PBSX family	37	348	3.1E-37	T	28-04-2016	IPR006437	Bacteriophage terminase, large subunit	GO:0006323	
Vibriophage_1.106.O._10N.286.51.F7_2	f6cecb0becc52ac8a4fd3afb84161428	492	PANTHER	PTHR39184		5	308	4.9E-28	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_2	f6cecb0becc52ac8a4fd3afb84161428	492	PANTHER	PTHR39184		346	491	4.9E-28	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_2	f6cecb0becc52ac8a4fd3afb84161428	492	PANTHER	PTHR39184:SF1		5	308	4.9E-28	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_2	f6cecb0becc52ac8a4fd3afb84161428	492	PANTHER	PTHR39184:SF1		346	491	4.9E-28	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_2	f6cecb0becc52ac8a4fd3afb84161428	492	Pfam	PF04466	Phage terminase large subunit	38	477	7.8E-41	T	28-04-2016	IPR006437	Bacteriophage terminase, large subunit	GO:0006323	
Vibriophage_1.106.O._10N.286.51.F7_19	b94d98d10dbd0dc4328350de6efefb14	115	Gene3D	G3DSA:3.30.1380.10		6	115	7.7E-34	T	28-04-2016	IPR009045	Hedgehog signalling/DD-peptidase zinc-binding domain		
Vibriophage_1.106.O._10N.286.51.F7_19	b94d98d10dbd0dc4328350de6efefb14	115	SUPERFAMILY	SSF55166		6	108	1.29E-26	T	28-04-2016	IPR009045	Hedgehog signalling/DD-peptidase zinc-binding domain		
Vibriophage_1.106.O._10N.286.51.F7_19	b94d98d10dbd0dc4328350de6efefb14	115	Pfam	PF08291	Peptidase M15	6	106	1.4E-24	T	28-04-2016	IPR013230	Peptidase M15A, C-terminal		MetaCyc: PWY-6470
Vibriophage_1.106.O._10N.286.51.F7_28	bef1a6da922a4ca505c93093d45ffd7c	397	Pfam	PF09979	Uncharacterized protein conserved in bacteria (DUF2213)	18	182	6.9E-49	T	28-04-2016	IPR016913	Uncharacterised conserved protein UCP029215		
Vibriophage_1.106.O._10N.286.51.F7_28	bef1a6da922a4ca505c93093d45ffd7c	397	PIRSF	PIRSF029215		7	374	7.3E-68	T	28-04-2016	IPR016913	Uncharacterised conserved protein UCP029215		
Vibriophage_1.106.O._10N.286.51.F7_28	bef1a6da922a4ca505c93093d45ffd7c	397	Coils	Coil		217	258	-	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_62	e60dc5e589ee1d9f2b50d15b8d76d001	612	SUPERFAMILY	SSF52540		8	188	2.17E-16	T	28-04-2016	IPR027417	P-loop containing nucleoside triphosphate hydrolase		
Vibriophage_1.106.O._10N.286.51.F7_62	e60dc5e589ee1d9f2b50d15b8d76d001	612	Gene3D	G3DSA:3.40.50.300		259	370	3.9E-10	T	28-04-2016	IPR027417	P-loop containing nucleoside triphosphate hydrolase		
Vibriophage_1.106.O._10N.286.51.F7_62	e60dc5e589ee1d9f2b50d15b8d76d001	612	PANTHER	PTHR24031:SF319		1	24	1.3E-20	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_62	e60dc5e589ee1d9f2b50d15b8d76d001	612	PANTHER	PTHR24031		1	24	1.3E-20	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_62	e60dc5e589ee1d9f2b50d15b8d76d001	612	Pfam	PF00271	Helicase conserved C-terminal domain	267	370	8.7E-7	T	28-04-2016	IPR001650	Helicase, C-terminal		
Vibriophage_1.106.O._10N.286.51.F7_62	e60dc5e589ee1d9f2b50d15b8d76d001	612	PANTHER	PTHR24031		260	371	1.3E-20	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_62	e60dc5e589ee1d9f2b50d15b8d76d001	612	ProSiteProfiles	PS51194	Superfamilies 1 and 2 helicase C-terminal domain profile.	267	418	8.731	T	28-04-2016	IPR001650	Helicase, C-terminal		
Vibriophage_1.106.O._10N.286.51.F7_62	e60dc5e589ee1d9f2b50d15b8d76d001	612	SUPERFAMILY	SSF52540		137	216	9.23E-18	T	28-04-2016	IPR027417	P-loop containing nucleoside triphosphate hydrolase		
Vibriophage_1.106.O._10N.286.51.F7_62	e60dc5e589ee1d9f2b50d15b8d76d001	612	SUPERFAMILY	SSF52540		261	373	9.23E-18	T	28-04-2016	IPR027417	P-loop containing nucleoside triphosphate hydrolase		
Vibriophage_1.106.O._10N.286.51.F7_62	e60dc5e589ee1d9f2b50d15b8d76d001	612	PANTHER	PTHR24031:SF319		260	371	1.3E-20	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_62	e60dc5e589ee1d9f2b50d15b8d76d001	612	Pfam	PF04851	Type III restriction enzyme, res subunit	9	184	2.3E-11	T	28-04-2016	IPR006935	Helicase/UvrB, N-terminal	GO:0003677|GO:0005524|GO:0016787	
Vibriophage_1.106.O._10N.286.51.F7_62	e60dc5e589ee1d9f2b50d15b8d76d001	612	Gene3D	G3DSA:3.40.50.300		5	188	5.8E-13	T	28-04-2016	IPR027417	P-loop containing nucleoside triphosphate hydrolase		
Vibriophage_1.106.O._10N.286.51.F7_62	e60dc5e589ee1d9f2b50d15b8d76d001	612	PANTHER	PTHR24031		40	196	1.3E-20	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_62	e60dc5e589ee1d9f2b50d15b8d76d001	612	PANTHER	PTHR24031:SF319		40	196	1.3E-20	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_77	43d3014936d334b4c2641fcbcddefc37	101	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	81	100	-	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_77	43d3014936d334b4c2641fcbcddefc37	101	Coils	Coil		12	42	-	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_54	9715add64c36ee95481bc5f6b505884a	213	Coils	Coil		210	213	-	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_54	9715add64c36ee95481bc5f6b505884a	213	Pfam	PF11041	Protein of unknown function (DUF2612)	3	178	1.2E-25	T	28-04-2016	IPR021283	Protein of unknown function DUF2612		
Vibriophage_1.106.O._10N.286.51.F7_23	f4d35eba842e362d637a9a0bf6d95d5a	185	PANTHER	PTHR10302		1	171	5.1E-51	T	28-04-2016	IPR011344	Single-stranded DNA-binding protein	GO:0003697|GO:0006260	
Vibriophage_1.106.O._10N.286.51.F7_23	f4d35eba842e362d637a9a0bf6d95d5a	185	PIRSF	PIRSF002070		2	163	4.0E-40	T	28-04-2016	IPR011344	Single-stranded DNA-binding protein	GO:0003697|GO:0006260	
Vibriophage_1.106.O._10N.286.51.F7_23	f4d35eba842e362d637a9a0bf6d95d5a	185	TIGRFAM	TIGR00621	ssb: single-stranded DNA-binding protein	3	170	1.0E-59	T	28-04-2016	IPR011344	Single-stranded DNA-binding protein	GO:0003697|GO:0006260	
Vibriophage_1.106.O._10N.286.51.F7_23	f4d35eba842e362d637a9a0bf6d95d5a	185	Pfam	PF00436	Single-strand binding protein family	6	106	4.4E-42	T	28-04-2016	IPR000424	Primosome PriB/single-strand DNA-binding	GO:0003697	
Vibriophage_1.106.O._10N.286.51.F7_23	f4d35eba842e362d637a9a0bf6d95d5a	185	PANTHER	PTHR10302:SF0		1	171	5.1E-51	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_23	f4d35eba842e362d637a9a0bf6d95d5a	185	ProSiteProfiles	PS50935	Single-strand binding (SSB) domain profile.	6	111	33.424	T	28-04-2016	IPR000424	Primosome PriB/single-strand DNA-binding	GO:0003697	
Vibriophage_1.106.O._10N.286.51.F7_23	f4d35eba842e362d637a9a0bf6d95d5a	185	SUPERFAMILY	SSF50249		4	170	1.44E-59	T	28-04-2016	IPR012340	Nucleic acid-binding, OB-fold		
Vibriophage_1.106.O._10N.286.51.F7_23	f4d35eba842e362d637a9a0bf6d95d5a	185	Hamap	MF_00984	Single-stranded DNA-binding protein.	6	118	37.026	T	28-04-2016	IPR011344	Single-stranded DNA-binding protein	GO:0003697|GO:0006260	
Vibriophage_1.106.O._10N.286.51.F7_23	f4d35eba842e362d637a9a0bf6d95d5a	185	Gene3D	G3DSA:2.40.50.140		4	170	1.9E-55	T	28-04-2016	IPR012340	Nucleic acid-binding, OB-fold		
Vibriophage_1.106.O._10N.286.51.F7_22	452f1cc4830c1089078e43d26170152d	65	Gene3D	G3DSA:1.10.260.40		8	54	2.3E-5	T	28-04-2016	IPR010982	Lambda repressor-like, DNA-binding domain	GO:0003677	
Vibriophage_1.106.O._10N.286.51.F7_22	452f1cc4830c1089078e43d26170152d	65	SUPERFAMILY	SSF47413		8	56	1.84E-7	T	28-04-2016	IPR010982	Lambda repressor-like, DNA-binding domain	GO:0003677	
Vibriophage_1.106.O._10N.286.51.F7_20	d76eb948ac5d08227c0135e4c3d52266	165	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	5	27	-	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_20	d76eb948ac5d08227c0135e4c3d52266	165	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	100	122	-	T	28-04-2016
Vibriophage_1.106.O._10N.286.51.F7_13	6b20b25eb92a448f5958f6f251f188eb	192	Pfam	PF13392	HNH endonuclease	79	122	7.2E-15	T	28-04-2016	IPR003615	HNH nuclease		
Vibriophage_1.106.O._10N.286.51.F7_13	6b20b25eb92a448f5958f6f251f188eb	192	SUPERFAMILY	SSF54171		133	180	6.34E-7	T	28-04-2016	IPR016177	DNA-binding domain	GO:0003677	
