Vibriophage_1.061.O._10N.286.55.C2_15	9ff7cdef65b7d26fdca1e6bff1aef0da	368	Coils	Coil		181	224	-	T	28-04-2016
Vibriophage_1.061.O._10N.286.55.C2_63	4c17f2f650243ec3f6f5e23aee5e9438	180	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	144	166	-	T	28-04-2016
Vibriophage_1.061.O._10N.286.55.C2_63	4c17f2f650243ec3f6f5e23aee5e9438	180	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	110	129	-	T	28-04-2016
Vibriophage_1.061.O._10N.286.55.C2_63	4c17f2f650243ec3f6f5e23aee5e9438	180	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	81	103	-	T	28-04-2016
Vibriophage_1.061.O._10N.286.55.C2_63	4c17f2f650243ec3f6f5e23aee5e9438	180	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	44	66	-	T	28-04-2016
Vibriophage_1.061.O._10N.286.55.C2_51	bf6d6ae010ceabea3611524a3f3a310d	460	SUPERFAMILY	SSF48024		7	109	7.45E-27	T	28-04-2016	IPR007693	DNA helicase, DnaB-like, N-terminal	GO:0003678|GO:0005524|GO:0006260	
Vibriophage_1.061.O._10N.286.55.C2_51	bf6d6ae010ceabea3611524a3f3a310d	460	Gene3D	G3DSA:3.40.50.300		169	390	4.8E-19	T	28-04-2016	IPR027417	P-loop containing nucleoside triphosphate hydrolase		
Vibriophage_1.061.O._10N.286.55.C2_51	bf6d6ae010ceabea3611524a3f3a310d	460	ProSiteProfiles	PS51199	Superfamily 4 helicase domain profile.	168	386	18.076	T	28-04-2016	IPR007694	DNA helicase, DnaB-like, C-terminal	GO:0003678|GO:0005524|GO:0006260	
Vibriophage_1.061.O._10N.286.55.C2_51	bf6d6ae010ceabea3611524a3f3a310d	460	SUPERFAMILY	SSF52540		312	406	1.84E-15	T	28-04-2016	IPR027417	P-loop containing nucleoside triphosphate hydrolase		
Vibriophage_1.061.O._10N.286.55.C2_51	bf6d6ae010ceabea3611524a3f3a310d	460	SUPERFAMILY	SSF52540		155	249	1.84E-15	T	28-04-2016	IPR027417	P-loop containing nucleoside triphosphate hydrolase		
Vibriophage_1.061.O._10N.286.55.C2_51	bf6d6ae010ceabea3611524a3f3a310d	460	Pfam	PF00772	DnaB-like helicase N terminal domain	6	102	7.2E-26	T	28-04-2016	IPR007693	DNA helicase, DnaB-like, N-terminal	GO:0003678|GO:0005524|GO:0006260	
Vibriophage_1.061.O._10N.286.55.C2_51	bf6d6ae010ceabea3611524a3f3a310d	460	PANTHER	PTHR30153		7	369	1.4E-36	T	28-04-2016
Vibriophage_1.061.O._10N.286.55.C2_51	bf6d6ae010ceabea3611524a3f3a310d	460	Pfam	PF03796	DnaB-like helicase C terminal domain	174	385	1.4E-18	T	28-04-2016	IPR007694	DNA helicase, DnaB-like, C-terminal	GO:0003678|GO:0005524|GO:0006260	
Vibriophage_1.061.O._10N.286.55.C2_51	bf6d6ae010ceabea3611524a3f3a310d	460	Gene3D	G3DSA:1.10.860.10		7	102	1.2E-26	T	28-04-2016	IPR016136	DNA helicase DnaB, N-terminal/DNA primase DnaG, C-terminal		
Vibriophage_1.061.O._10N.286.55.C2_8	5cd24b7544da09b77da3ae39a1bcf139	419	Pfam	PF11651	P22 coat protein - gene protein 5	51	415	6.5E-48	T	28-04-2016	IPR024659	Major capsid protein Gp5		
Vibriophage_1.061.O._10N.286.55.C2_8	5cd24b7544da09b77da3ae39a1bcf139	419	ProDom	PD140702	CAPSID COAT GP5 DIRECT LATE STRUCTURAL SEQUENCING	61	418	1.0E-8	T	28-04-2016
Vibriophage_1.061.O._10N.286.55.C2_28	49e43281f189f9c6548661201e4ec6e0	109	Gene3D	G3DSA:1.10.287.1080		7	86	2.9E-5	T	28-04-2016
Vibriophage_1.061.O._10N.286.55.C2_28	49e43281f189f9c6548661201e4ec6e0	109	SUPERFAMILY	SSF101386		10	95	5.05E-8	T	28-04-2016
Vibriophage_1.061.O._10N.286.55.C2_4	e3674173ea963c67fdb6b802810edb79	98	Coils	Coil		30	50	-	T	28-04-2016
Vibriophage_1.061.O._10N.286.55.C2_30	ef0c0c76710d82fad985477d0f0fe5f3	173	Pfam	PF09374	Predicted Peptidoglycan domain	98	160	6.3E-9	T	28-04-2016	IPR018537	Peptidoglycan binding domain		
Vibriophage_1.061.O._10N.286.55.C2_30	ef0c0c76710d82fad985477d0f0fe5f3	173	Gene3D	G3DSA:1.20.141.10		1	169	1.2E-52	T	28-04-2016
Vibriophage_1.061.O._10N.286.55.C2_30	ef0c0c76710d82fad985477d0f0fe5f3	173	Pfam	PF05838	Glycosyl hydrolase 108	7	95	2.0E-22	T	28-04-2016	IPR008565	Protein of unknown function DUF847		
Vibriophage_1.061.O._10N.286.55.C2_30	ef0c0c76710d82fad985477d0f0fe5f3	173	SUPERFAMILY	SSF53955		1	164	9.84E-46	T	28-04-2016	IPR023346	Lysozyme-like domain		
Vibriophage_1.061.O._10N.286.55.C2_3	a023d32941a6ebe7bba12b7685293257	687	Pfam	PF16510	Phage P22-like portal protein	7	649	6.2E-74	T	28-04-2016	IPR032427	Phage P22-like portal protein		
Vibriophage_1.061.O._10N.286.55.C2_7	3adf1594fdcca5767ed4407f6516bb44	309	Coils	Coil		62	99	-	T	28-04-2016
Vibriophage_1.061.O._10N.286.55.C2_7	3adf1594fdcca5767ed4407f6516bb44	309	Coils	Coil		164	184	-	T	28-04-2016
