Vibriophage_1.127.O._10N.286.52.E12_65	fdaacc5cd85619a639b9687bf968f5dd	244	Pfam	PF14297	Domain of unknown function (DUF4373)	3	90	1.4E-13	T	28-04-2016	IPR025400	Domain of unknown function DUF4373		
Vibriophage_1.127.O._10N.286.52.E12_41	dff6a0c2ce6d99fa529bb8d7589197f6	453	Pfam	PF03781	Sulfatase-modifying factor enzyme 1	209	321	2.1E-8	T	28-04-2016	IPR005532	Sulfatase-modifying factor enzyme		
Vibriophage_1.127.O._10N.286.52.E12_41	dff6a0c2ce6d99fa529bb8d7589197f6	453	SUPERFAMILY	SSF56436		412	450	7.93E-21	T	28-04-2016	IPR016187	C-type lectin fold		
Vibriophage_1.127.O._10N.286.52.E12_41	dff6a0c2ce6d99fa529bb8d7589197f6	453	SUPERFAMILY	SSF56436		183	330	7.93E-21	T	28-04-2016	IPR016187	C-type lectin fold		
Vibriophage_1.127.O._10N.286.52.E12_41	dff6a0c2ce6d99fa529bb8d7589197f6	453	Gene3D	G3DSA:3.90.1580.10		410	450	1.5E-11	T	28-04-2016	IPR005532	Sulfatase-modifying factor enzyme		
Vibriophage_1.127.O._10N.286.52.E12_41	dff6a0c2ce6d99fa529bb8d7589197f6	453	Gene3D	G3DSA:3.90.1580.10		207	349	1.5E-11	T	28-04-2016	IPR005532	Sulfatase-modifying factor enzyme		
Vibriophage_1.127.O._10N.286.52.E12_16	1db17b9e517e207f352354c24579fc78	267	Gene3D	G3DSA:3.40.50.150		30	89	4.6E-19	T	28-04-2016	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase		
Vibriophage_1.127.O._10N.286.52.E12_16	1db17b9e517e207f352354c24579fc78	267	Gene3D	G3DSA:3.40.50.150		172	230	4.6E-19	T	28-04-2016	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase		
Vibriophage_1.127.O._10N.286.52.E12_16	1db17b9e517e207f352354c24579fc78	267	PRINTS	PR00505	D12 class N6 adenine-specific DNA methyltransferase signature	35	51	3.5E-6	T	28-04-2016	IPR012327	D12 class N6 adenine-specific DNA methyltransferase	GO:0009007|GO:0032775	
Vibriophage_1.127.O._10N.286.52.E12_16	1db17b9e517e207f352354c24579fc78	267	PRINTS	PR00505	D12 class N6 adenine-specific DNA methyltransferase signature	60	74	3.5E-6	T	28-04-2016	IPR012327	D12 class N6 adenine-specific DNA methyltransferase	GO:0009007|GO:0032775	
Vibriophage_1.127.O._10N.286.52.E12_16	1db17b9e517e207f352354c24579fc78	267	PRINTS	PR00505	D12 class N6 adenine-specific DNA methyltransferase signature	185	197	3.5E-6	T	28-04-2016	IPR012327	D12 class N6 adenine-specific DNA methyltransferase	GO:0009007|GO:0032775	
Vibriophage_1.127.O._10N.286.52.E12_16	1db17b9e517e207f352354c24579fc78	267	ProSitePatterns	PS00092	N-6 Adenine-specific DNA methylases signature.	188	194	-	T	28-04-2016	IPR002052	DNA methylase, N-6 adenine-specific, conserved site	GO:0003676|GO:0008168|GO:0032259	
Vibriophage_1.127.O._10N.286.52.E12_16	1db17b9e517e207f352354c24579fc78	267	SUPERFAMILY	SSF53335		31	228	6.66E-24	T	28-04-2016	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase		
Vibriophage_1.127.O._10N.286.52.E12_16	1db17b9e517e207f352354c24579fc78	267	Pfam	PF02086	D12 class N6 adenine-specific DNA methyltransferase	35	109	3.1E-10	T	28-04-2016	IPR012327	D12 class N6 adenine-specific DNA methyltransferase	GO:0009007|GO:0032775	
Vibriophage_1.127.O._10N.286.52.E12_1	8c01e014942c7ff9949c7eff55fe4409	138	PANTHER	PTHR41328:SF2		2	71	2.7E-16	T	28-04-2016
Vibriophage_1.127.O._10N.286.52.E12_1	8c01e014942c7ff9949c7eff55fe4409	138	Pfam	PF03592	Terminase small subunit	4	82	3.1E-22	T	28-04-2016	IPR005335	Terminase small subunit	GO:0006323	
Vibriophage_1.127.O._10N.286.52.E12_1	8c01e014942c7ff9949c7eff55fe4409	138	PANTHER	PTHR41328		2	71	2.7E-16	T	28-04-2016
Vibriophage_1.127.O._10N.286.52.E12_66	3f627f0caa522ab594655c8d304cfb9b	460	PANTHER	PTHR30153		7	369	2.5E-35	T	28-04-2016
Vibriophage_1.127.O._10N.286.52.E12_66	3f627f0caa522ab594655c8d304cfb9b	460	Coils	Coil		117	137	-	T	28-04-2016
Vibriophage_1.127.O._10N.286.52.E12_66	3f627f0caa522ab594655c8d304cfb9b	460	SUPERFAMILY	SSF48024		7	110	1.16E-27	T	28-04-2016	IPR007693	DNA helicase, DnaB-like, N-terminal	GO:0003678|GO:0005524|GO:0006260	
Vibriophage_1.127.O._10N.286.52.E12_66	3f627f0caa522ab594655c8d304cfb9b	460	Pfam	PF03796	DnaB-like helicase C terminal domain	174	385	1.2E-18	T	28-04-2016	IPR007694	DNA helicase, DnaB-like, C-terminal	GO:0003678|GO:0005524|GO:0006260	
Vibriophage_1.127.O._10N.286.52.E12_66	3f627f0caa522ab594655c8d304cfb9b	460	SUPERFAMILY	SSF52540		156	249	8.86E-16	T	28-04-2016	IPR027417	P-loop containing nucleoside triphosphate hydrolase		
Vibriophage_1.127.O._10N.286.52.E12_66	3f627f0caa522ab594655c8d304cfb9b	460	SUPERFAMILY	SSF52540		312	406	8.86E-16	T	28-04-2016	IPR027417	P-loop containing nucleoside triphosphate hydrolase		
Vibriophage_1.127.O._10N.286.52.E12_66	3f627f0caa522ab594655c8d304cfb9b	460	Gene3D	G3DSA:1.10.860.10		7	102	2.2E-27	T	28-04-2016	IPR016136	DNA helicase DnaB, N-terminal/DNA primase DnaG, C-terminal		
Vibriophage_1.127.O._10N.286.52.E12_66	3f627f0caa522ab594655c8d304cfb9b	460	Pfam	PF00772	DnaB-like helicase N terminal domain	6	102	1.0E-26	T	28-04-2016	IPR007693	DNA helicase, DnaB-like, N-terminal	GO:0003678|GO:0005524|GO:0006260	
Vibriophage_1.127.O._10N.286.52.E12_66	3f627f0caa522ab594655c8d304cfb9b	460	Gene3D	G3DSA:3.40.50.300		171	390	6.0E-20	T	28-04-2016	IPR027417	P-loop containing nucleoside triphosphate hydrolase		
Vibriophage_1.127.O._10N.286.52.E12_71	f4d07a47ee9679014848b7c387fd89de	157	Pfam	PF05772	NinB protein	47	139	5.2E-5	T	28-04-2016	IPR008711	Recombinase NinB		
Vibriophage_1.127.O._10N.286.52.E12_71	f4d07a47ee9679014848b7c387fd89de	157	ProDom	PD033929	YBCN ECS1616 SIMILAR 5'REGION ORF151 RUSA LAMBDOID DLP12 BACTERIOPHAGE PROPHAGE	42	155	1.0E-9	T	28-04-2016
Vibriophage_1.127.O._10N.286.52.E12_71	f4d07a47ee9679014848b7c387fd89de	157	Gene3D	G3DSA:1.10.3790.10		40	149	1.2E-18	T	28-04-2016	IPR008711	Recombinase NinB		
Vibriophage_1.127.O._10N.286.52.E12_71	f4d07a47ee9679014848b7c387fd89de	157	SUPERFAMILY	SSF103370		48	143	9.55E-12	T	28-04-2016	IPR008711	Recombinase NinB		
Vibriophage_1.127.O._10N.286.52.E12_55	48bc3884d94c497a3a163a3315d777e7	240	Gene3D	G3DSA:3.30.420.10		106	231	1.9E-8	T	28-04-2016	IPR012337	Ribonuclease H-like domain	GO:0003676	
Vibriophage_1.127.O._10N.286.52.E12_55	48bc3884d94c497a3a163a3315d777e7	240	Pfam	PF10108	Predicted 3'-5' exonuclease related to the exonuclease domain of PolB	101	238	2.0E-9	T	28-04-2016	IPR019288	Predicted 3'-5' exonuclease, PolB-like		
Vibriophage_1.127.O._10N.286.52.E12_55	48bc3884d94c497a3a163a3315d777e7	240	SUPERFAMILY	SSF53098		84	236	1.8E-16	T	28-04-2016	IPR012337	Ribonuclease H-like domain	GO:0003676	
