Vibriophage_1.151.O._10N.222.46.B1_25	7d63f4c27ffe664ddfe3dd1738be0a8e	71	ProSiteProfiles	PS50943	Cro/C1-type HTH domain profile.	12	66	12.258	T	28-04-2016	IPR001387	Cro/C1-type helix-turn-helix domain	GO:0043565	
Vibriophage_1.151.O._10N.222.46.B1_25	7d63f4c27ffe664ddfe3dd1738be0a8e	71	Gene3D	G3DSA:1.10.260.40		2	68	4.5E-15	T	28-04-2016	IPR010982	Lambda repressor-like, DNA-binding domain	GO:0003677	
Vibriophage_1.151.O._10N.222.46.B1_25	7d63f4c27ffe664ddfe3dd1738be0a8e	71	Pfam	PF01381	Helix-turn-helix	18	66	2.3E-8	T	28-04-2016	IPR001387	Cro/C1-type helix-turn-helix domain	GO:0043565	
Vibriophage_1.151.O._10N.222.46.B1_25	7d63f4c27ffe664ddfe3dd1738be0a8e	71	SMART	SM00530	Helix-turn-helix XRE-family like proteins	11	66	9.1E-7	T	28-04-2016	IPR001387	Cro/C1-type helix-turn-helix domain	GO:0043565	
Vibriophage_1.151.O._10N.222.46.B1_25	7d63f4c27ffe664ddfe3dd1738be0a8e	71	SUPERFAMILY	SSF47413		4	67	8.45E-11	T	28-04-2016	IPR010982	Lambda repressor-like, DNA-binding domain	GO:0003677	
Vibriophage_1.151.O._10N.222.46.B1_39	c47b9891c04aae10403531ae674191a6	185	ProSiteProfiles	PS51143	MT-A70-like family profile.	1	185	22.238	T	28-04-2016	IPR007757	MT-A70-like	GO:0006139|GO:0008168	
Vibriophage_1.151.O._10N.222.46.B1_39	c47b9891c04aae10403531ae674191a6	185	Pfam	PF05063	MT-A70	13	184	6.3E-26	T	28-04-2016	IPR007757	MT-A70-like	GO:0006139|GO:0008168	
Vibriophage_1.151.O._10N.222.46.B1_39	c47b9891c04aae10403531ae674191a6	185	Coils	Coil		183	185	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_39	c47b9891c04aae10403531ae674191a6	185	PANTHER	PTHR12829		5	185	8.9E-16	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_39	c47b9891c04aae10403531ae674191a6	185	SUPERFAMILY	SSF53335		11	132	3.49E-5	T	28-04-2016	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase		
Vibriophage_1.151.O._10N.222.46.B1_30	c03bf3d2a9b74bb79003a4367d3c1130	227	Coils	Coil		51	85	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_30	c03bf3d2a9b74bb79003a4367d3c1130	227	Coils	Coil		206	226	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_30	c03bf3d2a9b74bb79003a4367d3c1130	227	Pfam	PF05766	Bacteriophage Lambda NinG protein	4	224	7.3E-48	T	28-04-2016	IPR008713	Bacteriophage lambda NinG		
Vibriophage_1.151.O._10N.222.46.B1_61	8d322968412fdfdad58fc93b4d20bc45	218	Pfam	PF02026	RyR domain	163	207	4.2E-11	T	28-04-2016	IPR003032	Ryanodine receptor Ryr		
Vibriophage_1.151.O._10N.222.46.B1_61	8d322968412fdfdad58fc93b4d20bc45	218	Pfam	PF13876	Phage protein (N4 Gp49/phage Sf6 gene 66) family	10	87	5.7E-21	T	28-04-2016	IPR025915	Phage protein (N4 Gp49/phage Sf6 gene 66) family		
Vibriophage_1.151.O._10N.222.46.B1_50	0a2d9e3e3be6e5447c771a31b2f92e62	60	Coils	Coil		49	60	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_47	ee7b4a42d6acd35df0271eab88105c18	279	Pfam	PF10065	Uncharacterized conserved protein (DUF2303)	4	276	4.9E-63	T	28-04-2016	IPR019276	Protein of unkown function DUF2303		
Vibriophage_1.151.O._10N.222.46.B1_47	ee7b4a42d6acd35df0271eab88105c18	279	Coils	Coil		256	276	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_35	76d6bbff843b0b2a63d58787c3f6e835	264	Gene3D	G3DSA:1.10.10.10		19	75	9.3E-4	T	28-04-2016	IPR011991	Winged helix-turn-helix DNA-binding domain		
Vibriophage_1.151.O._10N.222.46.B1_35	76d6bbff843b0b2a63d58787c3f6e835	264	Pfam	PF13730	Helix-turn-helix domain	21	66	6.6E-6	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_29	e764b6f34e79a7ec3b950646dc2c3d9d	87	Pfam	PF12961	Domain of Unknown Function with PDB structure (DUF3850)	3	79	5.1E-21	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_29	e764b6f34e79a7ec3b950646dc2c3d9d	87	Gene3D	G3DSA:3.10.480.10		1	69	7.9E-9	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_29	e764b6f34e79a7ec3b950646dc2c3d9d	87	SUPERFAMILY	SSF88697		1	70	1.62E-9	T	28-04-2016	IPR015947	PUA-like domain		
Vibriophage_1.151.O._10N.222.46.B1_44	1be7ae9004d6b95ce7958940a38c0435	65	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	13	35	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_5	1f8adc316e4de403afd60605b1c01d8e	244	Coils	Coil		39	73	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_5	1f8adc316e4de403afd60605b1c01d8e	244	Coils	Coil		244	244	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_24	2174373efb881e8ceeba63e712382259	240	Coils	Coil		146	166	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_18	9d25755c92ed307d763fab15c314f4a0	1261	TIGRFAM	TIGR02675	tape_meas_nterm: tape measure domain	138	209	4.7E-17	T	28-04-2016	IPR013491	Caudovirus, tape measure, N-terminal		
Vibriophage_1.151.O._10N.222.46.B1_18	9d25755c92ed307d763fab15c314f4a0	1261	Coils	Coil		372	399	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_18	9d25755c92ed307d763fab15c314f4a0	1261	Coils	Coil		1259	1261	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_23	c8d34d69a2f3ac6c49085858f985c129	406	Coils	Coil		176	221	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_23	c8d34d69a2f3ac6c49085858f985c129	406	Coils	Coil		268	300	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_20	2fac31ff174b6ce5fec6234c2cab178b	498	Coils	Coil		45	65	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_1	2ce6d309af120d9f4f3b436702cfbe2b	200	PANTHER	PTHR41328:SF2		2	145	6.1E-16	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_1	2ce6d309af120d9f4f3b436702cfbe2b	200	Pfam	PF03592	Terminase small subunit	4	151	9.4E-38	T	28-04-2016	IPR005335	Terminase small subunit	GO:0006323	
Vibriophage_1.151.O._10N.222.46.B1_1	2ce6d309af120d9f4f3b436702cfbe2b	200	PANTHER	PTHR41328		2	145	6.1E-16	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_2	fb40113cd7599b619ad4c7ec83e270b6	417	Pfam	PF03237	Terminase-like family	23	400	5.8E-36	T	28-04-2016	IPR004921	Terminase, large subunit		
Vibriophage_1.151.O._10N.222.46.B1_13	a7448dd2a0c5655b36ec6c4cf173de6c	122	Coils	Coil		3	23	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_53	117a4c72c53e0f4b8f86a1c0f4f2243e	52	Pfam	PF13619	KTSC domain	8	49	3.3E-11	T	28-04-2016	IPR025309	KTSC domain		
Vibriophage_1.151.O._10N.222.46.B1_42	3df23d7318ad3f808b3ce27bca7bb3f8	71	Coils	Coil		60	71	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_28	0c309cd595b342c2ac0982c1ab5faa11	125	Pfam	PF11672	Protein of unknown function (DUF3268)	7	106	6.0E-38	T	28-04-2016	IPR021686	Listeria phage P100, Gp150		
Vibriophage_1.151.O._10N.222.46.B1_26	d5d384e0fd84c97536e76fedcc675a37	104	Coils	Coil		59	79	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_4	891ac6e14bce9113e023632e498f49b7	543	Pfam	PF13264	Domain of unknown function (DUF4055)	323	461	1.7E-8	T	28-04-2016	IPR025129	Domain of unknown function DUF4055		
Vibriophage_1.151.O._10N.222.46.B1_32	05de470ea7b9789b517b837ea8c7b619	142	TMHMM	TMhelix	Region of a membrane-bound protein predicted to be embedded in the membrane.	4	26	-	T	28-04-2016
Vibriophage_1.151.O._10N.222.46.B1_58	8dc993aed07a61d624af8639bd1e2f4c	101	Coils	Coil		85	101	-	T	28-04-2016
